case_idraw_,case_origin,section,is_control,has_vocals,ref_id,ref_origin,ref_title,ref_link,ref_genre,ref_language,ref_timestamp,sampleA_id,sampleA_origin,sampleA_title,sampleA_link,sampleA_genre,sampleA_language,sampleA_timestamp,sampleB_id,sampleB_origin,sampleB_title,sampleB_link,sampleB_source,sampleB_genre,sampleB_language,sampleB_timestamp,tr_strategy
c_016,human,HP,0,1,c_ref_016,smp_ac_68,Bobby Brown - Humpin Around,https://www.youtube.com/watch?v=PGoDNmLDnRM,"r&b, soul",english,00:12-00:20,c_sA_016,smp_ac_68,Lee Seung Cheol - Banghwang,https://www.youtube.com/watch?v=GYXT0ggqK94,pop,korean,00:15-00:24,c_sB_016,different section of ref track,Bobby Brown - Humpin Around,https://www.youtube.com/watch?v=PGoDNmLDnRM,yt,"soul, r&b",english,00:38-00:46,different section of ref track
c_017,human,HP,0,0,c_ref_017,smp_ac_98,Queen - Under Pressure (Official Video),https://www.youtube.com/watch?v=a01QQZyl-_I,"rock, pop",english,00:06-00:15,c_sA_017,smp_ac_98,Vanilla Ice - Ice Ice Baby (Official Music Video),https://www.youtube.com/watch?v=rog8ou-ZepE,"hip-hop, pop",english,00:08-00:16,c_sB_017,same style/genre,M.I.A. - Paper Planes,https://www.youtube.com/watch?v=ewRjZoRtu0Y,yt,"pop, hip-hop",english,00:01-00:10,same style/genre
c_018,human,HP,0,0,c_ref_018,smp_ac_70,Me Espere - Casiopea,https://www.youtube.com/watch?v=QQnZ19uMaTE,jazz,japanese,00:00-00:09,c_sA_018,smp_ac_70,Lee Seung Cheol - Chinguui Chingureul Saranghaenne,https://www.youtube.com/watch?v=0dw3u6AwidE,pop,korean,00:00-00:10,c_sB_018,same artist as A,마지막 나의 모습 (마지막 나의 모습),https://www.youtube.com/watch?v=CSrtjbrKqCM,yt,"ballad, pop, rock",korean,00:00-00:10,same artist as A
c_019,human,HP,0,1,c_ref_019,smp_ac_72,Me Espere - Casiopea,https://www.youtube.com/watch?v=QQnZ19uMaTE,jazz,japanese,00:51-00:57,c_sA_019,same artist as ref,Princess Moon - Casiopea,https://www.youtube.com/watch?v=P9QO217j3DE,"jazz, rock",-,01:54-02:02,c_sB_019,smp_ac_72,Lee Seung Cheol - Chinguui Chingureul Saranghaenne,https://www.youtube.com/watch?v=0dw3u6AwidE,yt,pop,korean,00:53-00:59,same artist as ref
c_020,human,HP,0,0,c_ref_020,smp_ac_2,Maroon 5 - This Love (Official Music Video),https://www.youtube.com/watch?v=XPpTgCho5ZA,"rock, pop rock",english,00:00-00:09,c_sA_020,same artist as ref,If I Never See Your Face Again - Maroon 5,https://www.youtube.com/watch?v=19uoaAVBLto,"pop, pop rock, r&b, funk, rock",english,00:10-00:18,c_sB_020,smp_ac_2,이승기(Lee Seung Gi) 가면 (가사 첨부),https://www.youtube.com/watch?v=LXW2yw8Ttbg,yt,"pop, ballad",korean,00:00-00:08,same artist as ref
c_021,human,HP,0,1,c_ref_021,smp_ac_103,The Police - Every Breath You Take,https://www.youtube.com/watch?v=OMOGaugKpzs,"new wave, pop rock, rock",english,00:16-00:29,c_sA_021,smp_ac_103,Puff Daddy [feat. Faith Evans & 112] - I'll Be Missing You,https://www.youtube.com/watch?v=NKMtZm2YuBE,"r&b, rap, hip-hop",english,01:06-01:20,c_sB_021,suggested song,The Black Eyed Peas - Where Is The Love?,https://www.youtube.com/watch?v=WpYeekQkAdc,yt,"hip-hop, pop",english,01:13-01:22,suggested song
c_022,human,HP,0,1,c_ref_022,smp_ac_37,Sweet Little Sixteen - Chuck Berry,https://www.youtube.com/watch?v=zwgM-3mr3DI,"rock, rock and roll, blues",english,00:14-00:22,c_sA_022,same artist as B,The Beach Boys - Good Vibrations,https://www.youtube.com/watch?v=apBWI6xrbLY,"rock, pop",english,00:25-00:37,c_sB_022,smp_ac_37,Surfin USA - The Beach Boys,https://www.youtube.com/watch?v=KcZn05qxVgg,yt,"rock, rock and roll, pop",english,00:05-00:15,same artist as B
c_023,human,HP,0,1,c_ref_023,smp_ac_60,Whitney Houston - I Know Him So Well,https://www.youtube.com/watch?v=UomwE7tYfTI,"pop, ballad",english,01:23-01:30,c_sA_023,smp_ac_60,내사랑인걸,https://www.youtube.com/watch?v=MaUMlEqZdcs,"ballad, pop",korean,01:34-01:41,c_sB_023,same artist as ref,I Will Always Love You - Whitney Houston,https://www.youtube.com/watch?v=3JWTaaS7LdU,yt,"pop, soul, r&b",english,01:25-01:34,same artist as ref
c_024,human,HP,0,1,c_ref_024,smp_ac_61,Whitney Houston - I Know Him So Well,https://www.youtube.com/watch?v=UomwE7tYfTI,"pop, ballad",english,01:38-01:46,c_sA_024,same artist as B,어느새 (어느새),https://www.youtube.com/watch?v=lSk7MRDwAUo,"folk, pop, bossa nova",korean,01:09-01:20,c_sB_024,smp_ac_61,내사랑인걸,https://www.youtube.com/watch?v=MaUMlEqZdcs,yt,"ballad, pop",korean,01:50-01:57,same artist as B
c_025,human,HP,0,1,c_ref_025,smp_ac_54,Taj Mahal - Jorge Ben,https://www.youtube.com/watch?v=PaBkFpYYeGU,"latin, funk",portuguese,00:51-00:57,c_sA_025,same artist as ref,Moça - Jorge Ben Jor,https://www.youtube.com/watch?v=P7FfDnU3_1c,"latin, samba",portuguese,02:25-02:35,c_sB_025,smp_ac_54,Rod Stewart - Da Ya Think I'm Sexy?,https://www.youtube.com/watch?v=Hphwfq1wLJs,yt,"disco, rock",english,00:53-01:00,same artist as ref
c_026,human,HP,0,1,c_ref_026,smp_ac_62,Goodbye day - Takao Kisugi,https://www.youtube.com/watch?v=NZWei819Xbw,"pop, rock",japanese,01:12-01:21,c_sA_026,smp_ac_62,Choi Seong Su - Naui Seulpeume Geudaeneun Tain,https://www.youtube.com/watch?v=gzZz3JiNd_M,"pop, folk, world, country, ballad",korean,01:05-01:13,c_sB_026,same artist as ref,takao kisugi - silhouette romance,https://www.youtube.com/watch?v=ZoOcNPihF6M,yt,pop,japanese,01:14-01:21,same artist as ref
c_027,human,HP,0,1,c_ref_027,smp_ac_63,Goodbye day - Takao Kisugi,https://www.youtube.com/watch?v=NZWei819Xbw,"pop, rock",japanese,01:24-01:35,c_sA_027,same artist as B,남남 · 최성수,https://www.youtube.com/watch?v=XX2R2RP5rE8,"pop, ballad",korean,01:02-01:12,c_sB_027,smp_ac_63,Choi Seong Su - Naui Seulpeume Geudaeneun Tain,https://www.youtube.com/watch?v=gzZz3JiNd_M,yt,"pop, folk, world, country, ballad",korean,01:15-01:23,same artist as B
c_028,human,HP,0,1,c_ref_028,smp_ac_118,Right Said Fred - I'm Too Sexy,https://www.youtube.com/watch?v=P5mtclwloEQ,"pop, dance",english,01:28-01:35,c_sA_028,smp_ac_118,Taylor Swift - Look What You Made Me Do,https://www.youtube.com/watch?v=3tmd-ClpJxA,"pop, dance, electronic",english,01:06-01:13,c_sB_028,same style/genre,bad guy - billie Eilish,https://www.youtube.com/watch?v=DyDfgMOUjCI,yt,"electronic, pop",english,00:28-00:41,same style/genre
c_029,human,HP,0,1,c_ref_029,smp_ac_100,Joyful Noise - FLAME feat. Lecrae & John Reilly,https://www.youtube.com/watch?v=MllhC0qyEjY,"rap, hip-hop",english,01:29-01:41,c_sA_029,same artist as ref,"FLAME ""Move""",https://www.youtube.com/watch?v=ZaZQYucYXtk,"hip-hop, rap",english,00:35-00:45,c_sB_029,smp_ac_100,Katy Perry - Dark Horse ft. Juicy J,https://www.youtube.com/watch?v=xtoHuHgS9_o,yt,"hip-hop, pop, rap, electronic",english,00:15-00:26,same artist as ref
c_030,human,HP,0,0,c_ref_030,smp_ac_39,Lee Jung Hyun - Wa,https://www.youtube.com/watch?v=N-QqRqISX0k,"techno, pop",korean,00:30-00:43,c_sA_030,smp_ac_39,Bandido - Vamos Amigos,https://www.youtube.com/watch?v=LLaB_-wtjRc,"techno, dance, electronic","spanish, english",00:29-00:42,c_sB_030,same style/genre,Eli Brown - Be The One,https://www.youtube.com/watch?v=8_H3uCy3pC8,yt,"techno, electronic",english,00:08-00:20,same style/genre
c_031,human,HV,0,1,c_ref_031,C-0059460,Michael Jackson - Thriller,https://www.youtube.com/watch?v=ZEHsIcsjtdI,"pop, disco, funk",english,01:39-01:49,c_sA_031,nothing in common,Black Pumas - Colors,https://www.youtube.com/watch?v=0G383538qzQ,"blues, soul, funk",english,01:46-01:56,c_sB_031,nothing in common,Ezra Collective - God Gave Me Feet For Dancing (ft. Yazmin Lacey),https://www.youtube.com/watch?v=5JUjFN9AuFU,yt,"jazz, afrobeat, soul",english,00:41-00:55,nothing in common
c_032,human,HV,0,1,c_ref_032,C-0084568,The Young Gods - L’Eau Rouge,https://www.youtube.com/watch?v=52JQbFoOSGM,"electronic, rock",french,01:30-01:40,c_sA_032,nothing in common,"BLACK SABBATH - ""Paranoid""",https://www.youtube.com/watch?v=0qanF-91aJo,"metal, rock, blues",english,01:16-01:27,c_sB_032,nothing in common,Master of Puppets - Metallica,https://www.youtube.com/watch?v=E0ozmU9cJDg,yt,"rock, metal, trash  metal",english,00:21-00:36,nothing in common
c_033,human,HV,0,1,c_ref_033,C-0144781,Nobody Makes Me Crazy - Karla DeVito,https://www.youtube.com/watch?v=8LNrsi07UjM,"electronic, rock",english,01:43-01:55,c_sA_033,C-0144781,Nobody Makes Me Crazy (Like You Do) - Diana Ross,https://www.youtube.com/watch?v=VNrXyTXcaEg,"funk, soul, electronic",english,01:41-01:52,c_sB_033,same artist as ref,We Are Not Alone - Karla de Vito,https://www.youtube.com/watch?v=GeMHC7Ih8wg,yt,"rock, new wave",english,02:50-02:59,same artist as ref
c_034,human,HV,0,1,c_ref_034,C-0085340,Troy Shondell - Girl After Girl,https://www.youtube.com/watch?v=TmNUuu29L3M,"rock, pop",english,00:24-00:34,c_sA_034,same artist as B,Hidden Charms - Dreaming Of Another Girl,https://www.youtube.com/watch?v=12puEZ6FCPc,"rock, garage rock",english,00:52-01:00,c_sB_034,C-0085340,Hidden Charms - Girl After Girl,https://www.youtube.com/watch?v=yptvA1v4k70,yt,rock,english,00:25-00:35,same artist as B
c_035,human,HV,0,1,c_ref_035,C-0059460,Michael Jackson - Thriller,https://www.youtube.com/watch?v=ZEHsIcsjtdI,"pop, disco, funk",english,01:29-01:37,c_sA_035,C-0059460,Thriller - Michael Jackson (1930s Jazz Cover) ft. Wayne Brady,https://www.youtube.com/watch?v=td-_pUPVjdo&list=RDtd-_pUPVjdo&start_radio=1,jazz,english,01:07-01:14,c_sB_035,different section of ref track,Michael Jackson - Thriller,https://www.youtube.com/watch?v=ZEHsIcsjtdI,yt,"pop, disco, funk",english,02:10-02:16,different section of ref track
c_036,human,HV,0,1,c_ref_036,C-0046091,Amanda - The Way I Am,https://www.youtube.com/watch?v=ESn_2LeiEFk,"pop, electronic",english,01:46-01:53,c_sA_036,different section of ref track,Amanda - The Way I Am,https://www.youtube.com/watch?v=ESn_2LeiEFk,"pop, electronic",english,01:01-01:09,c_sB_036,suggested song,Red Hot Chili Peppers - Can't Stop,https://www.youtube.com/watch?v=8DyziWtkfBw,yt,"funk, rock",english,00:55-01:05,different section of ref track
c_037,human,HV,0,1,c_ref_037,C-0065992,Guns N' Roses - Reckless Life,https://www.youtube.com/watch?v=G96ix4DkLk0,rock,english,02:52-03:03,c_sA_037,different section of ref track,Guns N' Roses - Reckless Life,https://www.youtube.com/watch?v=G96ix4DkLk0,rock,english,01:14-01:22,c_sB_037,C-0065992,"Hollywood Rose, Axl Rose, Izzy Stradlin - Reckless Life",https://www.youtube.com/watch?v=2xblhu1MALM,yt,rock,english,03:52-04:02,different section of ref track
c_038,human,HV,0,0,c_ref_038,C-0026098,The James Cotton Blues Band - Off The Wall,https://www.youtube.com/watch?v=iaVLiZrywc0,blues,-,01:41-01:53,c_sA_038,C-0026098,Muddy Waters - Off The Wall,https://www.youtube.com/watch?v=4PHr_PyyN4g,blues,-,02:23-02:35,c_sB_038,same artist as ref,The Creeper - James Cotton,https://www.youtube.com/watch?v=OmorWcH1xDw,yt,blues,-,02:00-02:08,same artist as ref
c_039,human,HV,0,1,c_ref_039,C-0098018,Gloria Lasso - Amour Perdu (Armen's Theme),https://www.youtube.com/watch?v=T7gC3xfX9Zw&embeds_referring_euri=http%3A%2F%2F43.0.66.45%3A8501%2F&source_ve_path=MTc4NDI0,pop,french,00:36-00:48,c_sA_039,C-0098018,Claude Goaty - Amour Perdu,https://www.youtube.com/watch?v=s5GBEKLdbAw,pop,french,00:35-00:45,c_sB_039,same artist as ref,Gloria Lasso Luna de miel,https://www.youtube.com/watch?v=OBs562UTX6Q,yt,"latin, pop",spanish,01:31-01:44,same artist as ref
c_040,human,HV,0,1,c_ref_040,C-0020641,Garry Mills - Hey Baby,https://www.youtube.com/watch?v=-Y-8HTJ5_3o,rock and roll,english,00:40-00:48,c_sA_040,suggested song,Dream A Little Dream Of Me - Doris Day,https://www.youtube.com/watch?v=YbWWQPbeBDk,"pop, jazz",english,00:19-00:35,c_sB_040,C-0020641,Al Ferrier - Hey Baby,https://www.youtube.com/watch?v=G6tEBpdoQXE,yt,"rock, blues",english,00:51-01:01,suggested song
c_041,human,HV,0,1,c_ref_041,C-0223914,Gail Becker - Small Day Tomorrow,https://www.youtube.com/watch?v=hP59kWKuOiI,jazz,english,02:59-03:09,c_sA_041,different section of ref track,Gail Becker - Small Day Tomorrow,https://www.youtube.com/watch?v=hP59kWKuOiI,jazz,english,03:50-04:04,c_sB_041,C-0223914,Bob Dorough - Small Day Tomorrow,https://www.youtube.com/watch?v=EJFNGP46i1o&t=8s,yt,jazz,english,02:56-03:05,different section of ref track
c_042,human,HV,0,0,c_ref_042,C-0165968,Mi Sono Innamorato Di Te - Dino Rubino,https://www.youtube.com/watch?v=WIFiN1bVoD0,jazz,-,03:52-04:03,c_sA_042,C-0165968,Mi sono innamorato di te - Ely Neri,https://www.youtube.com/watch?v=yhytohu8VeQ,"pop, classical, world, country",-,02:19-02:29,c_sB_042,same style/genre,Chet Baker - I fall in love too easy,https://www.youtube.com/watch?v=3zrSoHgAAWo,yt,jazz,english,01:00-01:10,same style/genre
c_043,human,HV,0,1,c_ref_043,C-0095324,Luz Casal - El Tren,https://www.youtube.com/watch?v=I8jV8cQqL18,rock,spanish,02:29-02:36,c_sA_043,C-0095324,Luis Fonsi - El Tren,https://www.youtube.com/watch?v=4JqcUZM13O8,"latin, pop",spanish,02:11-02:22,c_sB_043,C-0095324,Luz Casal - El Tren,https://www.youtube.com/watch?v=I8jV8cQqL18,yt,rock,spanish,02:06-02:18,different section of ref track
c_044,human,HV,0,1,c_ref_044,C-0159141,Shawn Colvin - Whole New You,https://www.youtube.com/watch?v=k8XCOF2eEWY,"pop, rock, folk, world, country",english,02:37-02:45,c_sA_044,C-0159141,Queen Bees - Whole New You,https://www.youtube.com/watch?v=dC6hflBS_7Q,pop,english,02:21-02:29,c_sB_044,suggested song,Billie Elish - Birds of Feather,https://www.youtube.com/watch?v=V9PVRfjEBTI,yt,"pop, new wave, synth-pop, indie",english,01:45-01:55,suggested song
c_045,human,HV,0,1,c_ref_045,C-0070636,The New Bomb Turks - Summer Romance,https://www.youtube.com/watch?v=c1Sy-lMbbNM,rock,english,01:46-01:56,c_sA_045,same artist as ref,Born Toulouse-Lautrec - New Bomb Turks,https://www.youtube.com/watch?v=NNrLJYWeWwE,"garage rock, punk, rock, rock and roll",english,01:00-01:12,c_sB_045,C-0070636,The Rolling Stones - Summer Romance,https://www.youtube.com/watch?v=sspDUSOVkmQ,yt,rock,english,02:36-02:46,same artist as ref
c_046,human,HV,0,1,c_ref_046,C-0140272,Minisztár - La Camisa Negra,https://www.youtube.com/watch?v=_ZqmUOHkZRM,"electronic, pop",spanish,00:27-00:36,c_sA_046,C-0140272,Sangre Joven - La Camisa Negra,https://www.youtube.com/watch?v=-HihUEnGNRg,"latin, rock",spanish,00:31-00:40,c_sB_046,different section of ref track,Minisztár - La Camisa Negra,https://www.youtube.com/watch?v=_ZqmUOHkZRM,yt,"electronic, pop",spanish,00:56-01:05,different section of ref track
c_047,human,HV,0,0,c_ref_047,C-0074367,Tiny Grimes - Profoundly Blue,https://www.youtube.com/watch?v=eecBxqOqnso,blues,-,00:14-00:22,c_sA_047,same artist as ref,Tiny Grimes - Never Too Old to Swing,https://www.youtube.com/watch?v=kGGIiZR_y0g&list=RDeecBxqOqnso,"jazz, swing",-,00:06-00:13,c_sB_047,C-0074367,"Charlie Christian, Edmond Hall Celeste Quartet - Profoundly Blue",https://www.youtube.com/watch?v=b-jHI8OWFTg,yt,jazz,-,00:12-00:22,same artist as ref
c_048,human,HV,0,1,c_ref_048,C-0043178,Pointer Sisters - I'm So Excited,https://www.youtube.com/watch?v=F6m53yhdrGA,"electronic, funk, soul",english,01:07-01:17,c_sA_048,C-0043178,K's Choice - I'm So Excited,https://www.youtube.com/watch?v=3DCpIhz-N5I,"rock, pop",english,00:52-01:03,c_sB_048,same artist as A,Butterflies Instead - K's Choice,https://www.youtube.com/watch?v=BOn7NyKT5-w,yt,"rock, folk, pop rock",english,02:09-02:18,same artist as A
c_049,human,HV,0,0,c_ref_049,C-0290173,Benny Golson - Grove's Groove,https://www.youtube.com/watch?v=RF7D34EM52Q,jazz,-,00:00-00:10,c_sA_049,same style/genre,Night in Tunisia - J. J. Johnson,https://www.youtube.com/watch?v=mBSYIYm-jmI,jazz,-,00:49-00:58,c_sB_049,C-0290173,Michael Dease - Grove's Groove,https://www.youtube.com/watch?v=D-F7OZl2qIo,yt,jazz,-,00:00-00:09,same style/genre
c_050,human,HV,0,1,c_ref_050,C-0071189,Out in the Streets - Blondie,https://www.youtube.com/watch?v=d-F9Li6MFV0,"rock, pop",english,00:40-00:50,c_sA_050,C-0071189,Out In The Streets - The Shangril-las,https://www.youtube.com/watch?v=NrICMb-VIGc,"funk, soul, pop",english,00:47-00:57,c_sB_050,same artist as ref,Blondie - Call me,https://www.youtube.com/watch?v=StKVS0eI85I,yt,"electronic, rock, pop rock, new wave, disco",english,01:17-01:31,same artist as A
c_051,ai,AS,0,0,c_ref_051,electronic,fma_108416_electronic,stimuli/ai-gen-samples/fma/selected_samples/108416_electronic.wav,electronic,-,00:00-00:10,c_sA_051,electronic,fma_108416_electronic_rand_noise_eta_0.3,stimuli/ai-gen-samples/sao_gen_samples/raw/108416_electronic_rand_noise_eta_0.3.wav,electronic,-,00:00-00:10,c_sB_051,electronic,fma_108416_electronic_inv_noise_eta_0.3,stimuli/ai-gen-samples/sao_gen_samples/raw/108416_electronic_inv_noise_eta_0.3.wav,local,electronic,-,00:00-00:10,ai gen
c_052,ai,AS,0,0,c_ref_052,electronic,fma_108418_electronic,stimuli/ai-gen-samples/fma/selected_samples/108418_electronic.wav,electronic,-,00:00-00:10,c_sA_052,electronic,fma_108418_electronic_inv_noise_eta_0.3,stimuli/ai-gen-samples/sao_gen_samples/raw/108418_electronic_inv_noise_eta_0.3.wav,electronic,-,00:00-00:10,c_sB_052,electronic,fma_108418_electronic_rand_noise_eta_0.3,stimuli/ai-gen-samples/sao_gen_samples/raw/108418_electronic_rand_noise_eta_0.3.wav,local,electronic,-,00:00-00:10,ai gen
c_053,ai,AS,0,0,c_ref_053,electronic,fma_108421_electronic,stimuli/ai-gen-samples/fma/selected_samples/108421_electronic.wav,electronic,-,00:00-00:10,c_sA_053,electronic,fma_108421_electronic_inv_noise_eta_0.3,stimuli/ai-gen-samples/sao_gen_samples/raw/108421_electronic_inv_noise_eta_0.3.wav,electronic,-,00:00-00:10,c_sB_053,electronic,fma_108421_electronic_rand_noise_eta_0.3,stimuli/ai-gen-samples/sao_gen_samples/raw/108421_electronic_rand_noise_eta_0.3.wav,local,electronic,-,00:00-00:10,ai gen
