id,title,author,url,genre,all_genres,sample_path
71822,The Cemetery,Korg DS-10,https://freemusicarchive.org/music/Korg_DS-10/The_Haunted_Mansion/DS10Forumcom_-_DS10Forumcom_-_The_Haunted_Mansion_-_22_The_Cemetery/,Electronic,[15],fma/selected_samples/71822.wav
72073,Z-Saber (feat Jake Allison),Decktonic,https://freemusicarchive.org/music/Decktonic/Stars/Decktonic_-_Stars_-_07_Z-Saber_feat_Jake_Allison/,Electronic,"[297, 468, 182, 15]",fma/selected_samples/72073.wav
127936,Armageddon,Synapsis,https://freemusicarchive.org/music/Synapsis/Armageddon/Armageddon/,Electronic,"[401, 181, 15]",fma/selected_samples/127936.wav
71812,The Bathroom,Korg DS-10,https://freemusicarchive.org/music/Korg_DS-10/The_Haunted_Mansion/DS10Forumcom_-_DS10Forumcom_-_The_Haunted_Mansion_-_12_The_Bathroom/,Electronic,[15],fma/selected_samples/71812.wav
144723,And Over The Rainbows,milky-chu,https://freemusicarchive.org/music/milky-chu/Carnival_For_Edelweisss_Ensemble/And_Over_The_Rainbows/,Electronic,[15],fma/selected_samples/144723.wav
137054,Oh My God,S-B-J,https://freemusicarchive.org/music/SBJ/Singles_1952/S-B-J_-_06_-_Oh_My_God/,Electronic,"[184, 15, 236, 183]",fma/selected_samples/137054.wav
143056,Speeding Speech,Mystery Mammal,https://freemusicarchive.org/music/Mystery_Mammal/Wonders_Of_Modern_Technology/Mystery_Mammal_-_11_-_Speeding_Speech/,Electronic,"[184, 42, 236, 15]",fma/selected_samples/143056.wav
114333,Вон (Out),DUB DEPT,https://freemusicarchive.org/music/DUB_DEPT/none_given_2351/DUB_DEPT_-__Cocaphoine_-_01__Out/,Electronic,[15],fma/selected_samples/114333.wav
71823,The Back Yard,Korg DS-10,https://freemusicarchive.org/music/Korg_DS-10/The_Haunted_Mansion/DS10Forumcom_-_DS10Forumcom_-_The_Haunted_Mansion_-_23_The_Back_Yard/,Electronic,[15],fma/selected_samples/71823.wav
114556,keep the money,epsilon not,https://freemusicarchive.org/music/Epsilon_Not/dayvision/03_keep_the_money/,Electronic,"[495, 286, 182, 15]",fma/selected_samples/114556.wav
132134,OST 12 Wherever Aliens!!!,sawsquarenoise,https://freemusicarchive.org/music/sawsquarenoise/RottenMage_SpaceJacked/12_1116/,Electronic,"[240, 297, 15]",fma/selected_samples/132134.wav
91620,ayVentura,Rolemusic,https://freemusicarchive.org/music/Rolemusic/gigs_n_contest/rolemusic_-_gigs_n_contest_-_02_ayVentura/,Electronic,"[240, 297, 15]",fma/selected_samples/91620.wav
15772,The Product,Multifaros,https://freemusicarchive.org/music/Multifaros/The_Factory/The_Product/,Electronic,"[297, 15]",fma/selected_samples/15772.wav
147297,Oh Josephine,Vienna Ditto,https://freemusicarchive.org/music/Vienna_Ditto/Circle/4_Oh_Josephine/,Electronic,"[286, 15]",fma/selected_samples/147297.wav
71508,Burn Down the Monostery,Hexawe (Various Artists),https://freemusicarchive.org/music/Hexawe/Monorave_Compo/HEXAWE_-_MONORAVE_compo_-_09_Burn_Down_the_Monostery_by_egr/,Electronic,"[240, 297, 15]",fma/selected_samples/71508.wav
143054,Mo Mo Modem,Mystery Mammal,https://freemusicarchive.org/music/Mystery_Mammal/Wonders_Of_Modern_Technology/Mo_Mo_Modem/,Electronic,"[184, 42, 236, 15]",fma/selected_samples/143054.wav
108418,sandwork,UncleBibby,https://freemusicarchive.org/music/UncleBibby/Free_Music_Project_Vol_2/sandwork/,Electronic,"[181, 182, 15]",fma/selected_samples/108418.wav
71506,Cloudy,Hexawe (Various Artists),https://freemusicarchive.org/music/Hexawe/Monorave_Compo/HEXAWE_-_MONORAVE_compo_-_11_Cloudy_by_Subway_Sonicbeat/,Electronic,"[240, 297, 15]",fma/selected_samples/71506.wav
71821,The Courtyard,Korg DS-10,https://freemusicarchive.org/music/Korg_DS-10/The_Haunted_Mansion/DS10Forumcom_-_DS10Forumcom_-_The_Haunted_Mansion_-_21_The_Courtyard/,Electronic,[15],fma/selected_samples/71821.wav
108416,HomeBaser,UncleBibby,https://freemusicarchive.org/music/UncleBibby/Free_Music_Project_Vol_2/HomeBaser/,Electronic,"[181, 182, 15]",fma/selected_samples/108416.wav
112376,Oceanica,Avaren,https://freemusicarchive.org/music/Avaren/Avaren/Oceanica/,Electronic,[15],fma/selected_samples/112376.wav
47077,Arpanauts,Eric Skiff,https://freemusicarchive.org/music/Eric_Skiff/Resistor_Anthems/eric_skiff_-_10_-_arpanauts/,Electronic,"[240, 297, 15]",fma/selected_samples/47077.wav
111823,Sisterwind,P C III,https://freemusicarchive.org/music/P_C_III/Ad_Astra_Vol_1/05_Sisterwind/,Electronic,"[42, 15]",fma/selected_samples/111823.wav
108421,Sunshiner (TWOPLUSFADE mix),UncleBibby,https://freemusicarchive.org/music/UncleBibby/Free_Music_Project_Vol_2/Sunshiner_TWOPLUSFADE_mix/,Electronic,"[181, 182, 15]",fma/selected_samples/108421.wav
132442,Four and a Half Tatami,Nihilore,https://freemusicarchive.org/music/Nihilore/Misophonia/Nihilore_-_Misophonia_-_04_Four_and_a_Half_Tatami/,Electronic,"[42, 236, 182, 15]",fma/selected_samples/132442.wav
86156,Backwards,Moonove,https://freemusicarchive.org/music/Moonove/Moonove/moon066_backwards/,Electronic,"[42, 15]",fma/selected_samples/86156.wav
144730,I’m Walking To The Old School,milky-chu,https://freemusicarchive.org/music/milky-chu/Carnival_For_Edelweisss_Ensemble/Im_Walking_To_The_Old_School/,Electronic,[15],fma/selected_samples/144730.wav
115812,OST 02 Splash,sawsquarenoise,https://freemusicarchive.org/music/sawsquarenoise/RottenMage_SpaceJacked/RottenMage_SpaceJacked_OST_02/,Electronic,"[240, 297, 15]",fma/selected_samples/115812.wav
121727,She Thinks Herself Immortal,Jim Rooster,https://freemusicarchive.org/music/Jim_Rooster/She_Thinks_Herself_Immortal/Jim_Rooster_-_11_-__She_Thinks_Herself_Immortal/,Electronic,"[495, 15]",fma/selected_samples/121727.wav
52641,IceCold,Jason Shaw,https://freemusicarchive.org/music/Jason_Shaw/Audionautix_Tech_Urban_Dance/TU-IceCold/,Electronic,"[181, 15]",fma/selected_samples/52641.wav
112375,Jumpstyle,Avaren,https://freemusicarchive.org/music/Avaren/Avaren/jumpstyle/,Electronic,[15],fma/selected_samples/112375.wav
45103,Poppies,Rolemusic,https://freemusicarchive.org/music/Rolemusic/Straw_Fields/05_rolemusic_-_poppies/,Electronic,"[240, 297, 15]",fma/selected_samples/45103.wav
123921,Heavy Traffic,Three Chain Links,https://freemusicarchive.org/music/Three_Chain_Links/The_Happiest_Days_Of_Our_Lives/Three_Chain_Links_-_08_-_Heavy_Traffic/,Electronic,[15],fma/selected_samples/123921.wav
134360,Close Your Eyes and Dream,Gumbel,https://freemusicarchive.org/music/Gumbel/A_Dying_Paradise_1250/09_-_Close_Your_Eyes_and_Dream/,Electronic,"[495, 236, 15]",fma/selected_samples/134360.wav
134355,Wrong Dreams,Gumbel,https://freemusicarchive.org/music/Gumbel/A_Dying_Paradise_1250/04_-_Wrong_Dreams/,Electronic,"[495, 236, 15]",fma/selected_samples/134355.wav
111825,Dunewander,P C III,https://freemusicarchive.org/music/P_C_III/Ad_Astra_Vol_1/07_Dunewander/,Electronic,"[42, 15]",fma/selected_samples/111825.wav
118056,Mother Sink,Pete Prodoehl,https://freemusicarchive.org/music/Pete_Prodoehl/Snowbound/10_-_Pete_Prodoehl_-_Mother_Sink/,Rock,"[66, 12]",fma/selected_samples/118056
74914,These Aren't The Droids You're Looking For,Did You Just Hex Me?,https://freemusicarchive.org/music/Did_You_Just_Hex_Me/Did_You_Just_Hex_Me/Baconsmash_Records_-_Did_You_Just_Hex_Me-_-_08_These_Arent_The_Droids_Youre_Looking_For/,Rock,"[31, 12, 439]",fma/selected_samples/74914
61493,Redlight,Room For A Ghost,https://freemusicarchive.org/music/Room_For_A_Ghost/3_Song_EP/room_for_a_ghost_-__redlight/,Rock,"[66, 12, 98]",fma/selected_samples/61493
123564,Reaching,The First Class,https://freemusicarchive.org/music/The_First_Class/FMA_Compilation_1488/The_First_Class_-_01_-_Reaching/,Rock,"[26, 12, 66]",fma/selected_samples/123564
129262,The Contract,The IMG,https://freemusicarchive.org/music/The_IMG/Kaleidoscope_1819/Contract_1591/,Rock,"[66, 12]",fma/selected_samples/129262
126296,Voxel,Andy G. Cohen,https://freemusicarchive.org/music/Andy_G_Cohen/Layers_1240/Andy_G_Cohen_-_04_-_Voxel/,Rock,"[26, 12, 66, 359]",fma/selected_samples/126296
97286,We Wanna Rock,Чокнутый Пропеллер,https://freemusicarchive.org/music/Mad_Screw/We_Wanna_Rock/Choknuty_Propeller_-_We_Wanna_Rock/,Rock,"[25, 12, 109]",fma/selected_samples/97286
131150,Yeti-Bo-Betty,The Crypts,https://freemusicarchive.org/music/The_Crypts/No_Life_After_Crypts_1347/The_Crypts_-_09_-_Yeti_Bo_Bettymp3/,Rock,"[25, 12, 85]",fma/selected_samples/131150
128706,Medusa's On The Loose,The Crypts,https://freemusicarchive.org/music/The_Crypts/Discover_Science/The_Crypts_-_03_-_Medusas_On_The_Loose/,Rock,"[88, 12, 85]",fma/selected_samples/128706
138057,Turtle Talk,Every Now and Every Then,https://freemusicarchive.org/music/Every_Now_and_Every_Then/Bergwald_Bergwald/Every_Now_and_Every_Then_-_Bergwald_Bergwald_-_04_Turtle_Talk/,Rock,"[66, 12]",fma/selected_samples/138057
131142,Teenager,The Crypts,https://freemusicarchive.org/music/The_Crypts/No_Life_After_Crypts_1347/The_Crypts_-_01_-_Teenagermp3_1210/,Rock,"[25, 12, 85]",fma/selected_samples/131142
115762,Poincare Conjecture,Zoliborz,https://freemusicarchive.org/music/Zoliborz/Poincare_Conjecture/Zoliborz_-_Poincare_Conjecture_-_02_Poincare_Conjecture/,Rock,"[12, 31]",fma/selected_samples/115762
131145,No Life After Crypts,The Crypts,https://freemusicarchive.org/music/The_Crypts/No_Life_After_Crypts_1347/The_Crypts_-_04_-_No_Life_After_Cryptsmp3_1365/,Rock,"[25, 12, 85]",fma/selected_samples/131145
131124,First Time,The Crypts,https://freemusicarchive.org/music/The_Crypts/Its_A_Gosh_Darn_Crypts_Party/The_Crypts_-_06_-_First_Timemp3/,Rock,"[25, 12, 85]",fma/selected_samples/131124
122682,Boreal,Salmo,https://freemusicarchive.org/music/Salmo/Kaos_O_Labo_Piece_of_Wood/04_Boreal/,Rock,"[89, 26, 12, 25]",fma/selected_samples/122682
127557,Outside,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_14_Outside/,Rock,"[58, 12]",fma/selected_samples/127557
115766,The Call of the Polar Star,Zoliborz,https://freemusicarchive.org/music/Zoliborz/Poincare_Conjecture/Zoliborz_-_Poincare_Conjecture_-_06_The_Call_of_the_Polar_Star/,Rock,"[12, 31]",fma/selected_samples/115766
147709,Transmit,FrostClick,https://freemusicarchive.org/music/FrostClick/FrostClick_FrostWire_Creative_Commons_Mixtape_Vol_5_/27_Lamprey_Transmit_The_Greener_Grass_FROSTCLICK_FROSTWIRE_CREATIVE_COMMONS_MIXTAPE_VOL_5/,Rock,"[66, 12]",fma/selected_samples/147709
127546,Danger Ahead,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_03_Danger_Ahead/,Rock,"[58, 12]",fma/selected_samples/127546
138061,Bergwald Bergwald,Every Now and Every Then,https://freemusicarchive.org/music/Every_Now_and_Every_Then/Bergwald_Bergwald/Every_Now_and_Every_Then_-_Bergwald_Bergwald_-_08_Bergwald_Bergwald/,Rock,"[66, 12]",fma/selected_samples/138061
127559,High Hopes,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_16_High_Hopes/,Rock,"[58, 12]",fma/selected_samples/127559
149410,1984,Punk Rock Opera,https://freemusicarchive.org/music/Punk_Rock_Opera/Nerve_Damage/Punk_Rock_Opera_-_The_Bad_Plants_-_Nerve_Damage_-1982-_Album_-_07_1984/,Rock,"[440, 25, 12]",fma/selected_samples/149410
122687,introduction à La chute de la tête du roi,Salmo,https://freemusicarchive.org/music/Salmo/Kaos_O_Labo_Piece_of_Wood/09_introduction__La_chute_de_la_tte_du_roi/,Rock,"[89, 26, 12, 25]",fma/selected_samples/122687
130396,Notice of Eviction,Legally Blind,https://freemusicarchive.org/music/Legally_Blind/Legally_Blind/04_-_Notice_of_Eviction/,Rock,"[25, 12]",fma/selected_samples/130396
126294,Sheffield Hall,Andy G. Cohen,https://freemusicarchive.org/music/Andy_G_Cohen/Layers_1240/Andy_G_Cohen_-_02_-_Sheffield_Hall/,Rock,"[26, 12, 66, 359]",fma/selected_samples/126294
42779,UV RAYS,voyageurs,https://freemusicarchive.org/music/voyageurs/TRIGRAMS/VOYAGEURS_-_TRIGRAMS_-_07_UV_RAYS/,Rock,"[12, 85]",fma/selected_samples/42779
129968,Infinite Light,Pipe Choir,https://freemusicarchive.org/music/Pipe_Choir/Pipe_Choir/Infinite_Light/,Rock,[12],fma/selected_samples/129968
131167,Thunderbird ESQ/M-Crypt is old,The Crypts,https://freemusicarchive.org/music/The_Crypts/Live_in_Richmond_All_the_HitsAll_the_Misses/The_Crypts_-_08_-_Thunderbird_ESQmp3/,Rock,"[25, 12, 85]",fma/selected_samples/131167
127558,Half a Doubt,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_15_Half_a_Doubt/,Rock,"[58, 12]",fma/selected_samples/127558
74912,If I Do That I'll Fall Down,Did You Just Hex Me?,https://freemusicarchive.org/music/Did_You_Just_Hex_Me/Did_You_Just_Hex_Me/Baconsmash_Records_-_Did_You_Just_Hex_Me-_-_06_If_I_Do_That_Ill_Fall_Down/,Rock,"[31, 12, 439]",fma/selected_samples/74912
122683,L'intermede,Salmo,https://freemusicarchive.org/music/Salmo/Kaos_O_Labo_Piece_of_Wood/05_Lintermede/,Rock,"[89, 26, 12, 25]",fma/selected_samples/122683
149417,Nerve Damage,Punk Rock Opera,https://freemusicarchive.org/music/Punk_Rock_Opera/Nerve_Damage/Punk_Rock_Opera_-_The_Bad_Plants_-_Nerve_Damage_-1982-_Album_-_01_Nerve_Damage/,Rock,"[440, 25, 12]",fma/selected_samples/149417
147387,Red The Hunter,The Zombie Dandies,https://freemusicarchive.org/music/Zombie_Dandies/Lo-Fi_Heroes/The_Zombie_Dandies_-_Lo-Fi_Heroes_-_12_Red_The_Hunter/,Rock,"[25, 12]",fma/selected_samples/147387
131164,Five 40 Derby/Slow Whistle,The Crypts,https://freemusicarchive.org/music/The_Crypts/Live_in_Richmond_All_the_HitsAll_the_Misses/The_Crypts_-_05_-_Five_40_Derbymp3/,Rock,"[25, 12, 85]",fma/selected_samples/131164
138059,Skeleton Me,Every Now and Every Then,https://freemusicarchive.org/music/Every_Now_and_Every_Then/Bergwald_Bergwald/Every_Now_and_Every_Then_-_Bergwald_Bergwald_-_06_Skeleton_Me/,Rock,"[66, 12]",fma/selected_samples/138059
113511,Dark Spots,A Crooked Pulse,https://freemusicarchive.org/music/A_Crooked_Pulse/A_Crooked_Pulse/Dark_Spots_1708/,Rock,"[12, 85, 70, 359]",fma/selected_samples/113511
127556,Pressure,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_13_Pressure/,Rock,"[58, 12]",fma/selected_samples/127556
112317,Signal/Noise,Cloudkicker,https://freemusicarchive.org/music/Cloudkicker/Little_histories/Cloudkicker_-_Little_Histories_-_06_Signal-Noise/,Rock,"[98, 12, 31]",fma/selected_samples/112317
127547,Good Side,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_04_Good_Side/,Rock,"[58, 12]",fma/selected_samples/127547
149413,Insectlaration of Independence,Punk Rock Opera,https://freemusicarchive.org/music/Punk_Rock_Opera/Nerve_Damage/Punk_Rock_Opera_-_The_Bad_Plants_-_Nerve_Damage_-1982-_Album_-_10_Insectlaration_of_Independence/,Rock,"[440, 25, 12]",fma/selected_samples/149413
148888,Stenti,Deiezione HC,https://freemusicarchive.org/music/Deiezione_HC/Demo_2015/Deiezione_HC_-_01_-_Stenti/,Rock,"[25, 12, 109]",fma/selected_samples/148888
127555,Turn,Droopies,https://freemusicarchive.org/music/Droopies/Droopies/Droopies_-_Droopies_-_12_Turn/,Rock,"[58, 12]",fma/selected_samples/127555
135363,Breathe,iamlamprey,https://freemusicarchive.org/music/Lamprey/The_Greener_Grass/Breathe/,Rock,"[66, 12, 98]",fma/selected_samples/135363
131166,Luck That's Dumb/Happy Birthday Dave!,The Crypts,https://freemusicarchive.org/music/The_Crypts/Live_in_Richmond_All_the_HitsAll_the_Misses/The_Crypts_-_07_-_Luck_Thats_Dumbmp3/,Rock,"[25, 12, 85]",fma/selected_samples/131166
131128,TMNT,The Crypts,https://freemusicarchive.org/music/The_Crypts/Its_A_Gosh_Darn_Crypts_Party/The_Crypts_-_10_-_TMNTmp3/,Rock,"[25, 12, 85]",fma/selected_samples/131128
112316,Hassan,Cloudkicker,https://freemusicarchive.org/music/Cloudkicker/Little_histories/Cloudkicker_-_Little_Histories_-_05_Hassan/,Rock,"[98, 12, 31]",fma/selected_samples/112316
147405,The Friendly Monstershop,The Zombie Dandies,https://freemusicarchive.org/music/Zombie_Dandies/Dandys_Little_Monsters/The_Zombie_Dandies_-_Dandys_Little_Monsters_-_04_The_Friendly_Monstershop/,Rock,"[25, 12, 111]",fma/selected_samples/147405
147384,Cassie Lace,The Zombie Dandies,https://freemusicarchive.org/music/Zombie_Dandies/Lo-Fi_Heroes/The_Zombie_Dandies_-_Lo-Fi_Heroes_-_09_Cassie_Lace/,Rock,[12],fma/selected_samples/147384
75787,Niche Dreams,Square People,https://freemusicarchive.org/music/Square_People/Mysteries_and_Secrets_Unzipped_Soundtrack/Square_People_-_Mysteries_and_Secrets_Unzipped-_Soundtrack_-_06_Niche_Dreams1/,Rock,[12],fma/selected_samples/75787
67161,On the Road Again,Hisko Detria,https://freemusicarchive.org/music/Hisko_Detria/Static_Raw_Power_Kraut_demo/Hisko_Detria_-_Static_Raw_Power_Kraut_demo_-_04_On_the_Road_Again/,Rock,"[58, 36, 12]",fma/selected_samples/67161
102181,Рага Мести,Чокнутый Пропеллер,https://freemusicarchive.org/music/Mad_Screw/___1684/10_-_Raga_Mesti/,Rock,"[25, 12, 109]",fma/selected_samples/102181
114411,Levels Of Greatness,Scott Holmes Music,https://freemusicarchive.org/music/Scott_Holmes/We_Used_To_Paint_Stars_In_The_Sky/5_Levels_Of_Greatness/,Rock,"[26, 12]",fma/selected_samples/114411
114416,Beyond Something Beautiful,Scott Holmes Music,https://freemusicarchive.org/music/Scott_Holmes/We_Used_To_Paint_Stars_In_The_Sky/10_Beyond_Something_Beautiful/,Rock,"[26, 12]",fma/selected_samples/114416
131178,The Monster Mash/Ya Look Fantastic,The Crypts,https://freemusicarchive.org/music/The_Crypts/Live_in_Richmond_All_the_HitsAll_the_Misses/The_Crypts_-_19_-_The_Monster_Mashmp3/,Rock,"[25, 12, 85]",fma/selected_samples/131178
131153,Black Panda,The Crypts,https://freemusicarchive.org/music/The_Crypts/No_Life_After_Crypts_1347/The_Crypts_-_12_-_Black_Pandamp3/,Rock,"[25, 12, 85]",fma/selected_samples/131153
131151,Rat Mummies,The Crypts,https://freemusicarchive.org/music/The_Crypts/No_Life_After_Crypts_1347/The_Crypts_-_10_-_Rat_Mummiesmp3/,Rock,"[25, 12, 85]",fma/selected_samples/131151
145831,The Cage,Nihilore,https://freemusicarchive.org/music/Nihilore/A_Human_Work/Nihilore_-_A_Human_Work_-_04_The_Cage/,Electronic,"[495, 236, 15]",fma/selected_samples/145831.wav
52648,Tech Talk,Jason Shaw,https://freemusicarchive.org/music/Jason_Shaw/Audionautix_Tech_Urban_Dance/TU-TechTalk/,Electronic,"[181, 15]",fma/selected_samples/52648.wav
24945,Sluice,Sawako,https://freemusicarchive.org/music/Sawako/Summer_Tour_Remix_v1/06_Sluice/,Electronic,"[42, 15]",fma/selected_samples/24945.wav
89815,Nigtht_City,ENDRUDARK,https://freemusicarchive.org/music/ENDRUDARK/Dreams/02_-_Night_City/,Electronic,"[296, 181, 15]",fma/selected_samples/89815.wav
71514,Shut Up,Hexawe (Various Artists),https://freemusicarchive.org/music/Hexawe/Monorave_Compo/HEXAWE_-_MONORAVE_compo_-_03_Shut_Up_by_Rhinostrich/,Electronic,"[240, 297, 15]",fma/selected_samples/71514.wav
135366,Easy Street,iamlamprey,https://freemusicarchive.org/music/Lamprey/The_Greener_Grass/Easy_Street/,Rock,"[66, 12, 98]",fma/selected_samples/135366
145609,With These Flames,The One They Fear,https://freemusicarchive.org/music/The_One_They_Fear/Silence_Is_Consent_EP/The_One_They_Fear_-_Silence_Is_Consent_EP_-_02_With_These_Flames/,Rock,"[101, 12, 109, 45, 25, 31]",fma/selected_samples/145609
149411,Mothra,Punk Rock Opera,https://freemusicarchive.org/music/Punk_Rock_Opera/Nerve_Damage/Punk_Rock_Opera_-_The_Bad_Plants_-_Nerve_Damage_-1982-_Album_-_08_Mothra/,Rock,"[440, 25, 12]",fma/selected_samples/149411
131119,One Eyed Ghost,The Crypts,https://freemusicarchive.org/music/The_Crypts/Its_A_Gosh_Darn_Crypts_Party/The_Crypts_-_01_-_One_Eyed_Ghostmp3/,Rock,"[25, 12, 85]",fma/selected_samples/131119
69170,Enthusiast,Tours,https://freemusicarchive.org/music/Tours/Enthusiast/Tours_-_Enthusiast/,Electronic,"[495, 468, 15]",fma/selected_samples/69170.wav
147780,Dimension,Creo,https://freemusicarchive.org/music/Creo/Dimension/Dimension/,Electronic,"[182, 15]",fma/selected_samples/147780.wav
71502,mono+,Hexawe (Various Artists),https://freemusicarchive.org/music/Hexawe/Monorave_Compo/HEXAWE_-_MONORAVE_compo_-_15_mono_by_evgthug1/,Electronic,"[240, 297, 15]",fma/selected_samples/71502.wav
