case_id,category,melody,harmony,rhythm,voice,timbre
c_159,AS,0.0,-0.6666666666666666,-0.3333333333333333,,-0.3333333333333333
c_160,AS,-0.25,0.0,-0.25,,0.0
c_161,AS,0.25,-0.25,-0.5,,0.25
c_162,AS,0.0,0.3333333333333333,-0.3333333333333333,,0.3333333333333333
c_163,AS,1.0,0.3333333333333333,-0.3333333333333333,,0.3333333333333333
c_164,AS,-0.5,-0.75,-0.75,,0.0
c_165,AS,-0.16666666666666666,-0.3333333333333333,0.16666666666666666,,0.16666666666666666
c_166,AS,0.0,0.0,0.0,,0.3333333333333333
c_167,AS,-0.25,-0.25,-0.25,,-0.5
c_168,AS,0.0,-0.25,-0.75,,0.0
c_169,AS,-0.6666666666666666,-0.3333333333333333,0.0,,-0.3333333333333333
c_170,AS,0.0,-0.25,0.0,,0.0
c_171,AS,0.0,0.0,0.0,,0.0
c_172,AS,0.0,-0.5,0.0,,0.0
c_173,AS,0.0,0.6666666666666666,-0.3333333333333333,,0.0
c_174,AS,0.0,0.0,0.0,,-0.25
c_175,AS,0.6666666666666666,0.3333333333333333,0.3333333333333333,,0.3333333333333333
c_176,AS,-0.25,0.25,-0.25,,-0.25
c_177,AS,-0.3333333333333333,-0.3333333333333333,0.0,,0.0
c_178,AS,0.25,0.5,0.0,,0.0
c_179,AS,-0.25,0.0,0.0,,0.0
c_180,AS,0.0,-0.3333333333333333,0.6666666666666666,,0.3333333333333333
c_181,AS,-0.25,-0.25,0.25,,0.0
c_182,AS,-0.3333333333333333,0.0,0.0,,0.0
c_183,AS,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.3333333333333333
c_184,AS,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,,-0.3333333333333333
c_185,AS,0.25,0.0,0.75,,0.25
c_186,AS,0.3333333333333333,0.3333333333333333,-0.3333333333333333,,-0.3333333333333333
c_187,AS,0.6666666666666666,0.3333333333333333,0.3333333333333333,,0.0
c_188,AS,0.0,0.0,0.3333333333333333,,0.0
c_189,AS,0.25,0.5,0.0,,0.75
c_190,AS,-0.25,-0.25,-0.25,,0.25
c_191,AS,0.3333333333333333,1.0,0.6666666666666666,,0.0
c_192,AS,-0.2,0.2,0.0,,0.0
c_193,AS,0.0,0.3333333333333333,-0.3333333333333333,,0.3333333333333333
c_194,AS,0.0,-0.25,-0.25,,0.0
c_195,AS,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.0
c_196,AS,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,,-0.3333333333333333
c_197,AS,0.0,0.0,0.3333333333333333,,0.3333333333333333
c_198,AS,0.3333333333333333,0.6666666666666666,0.3333333333333333,,0.0
c_199,AS,0.0,0.0,0.0,,0.3333333333333333
c_200,AS,0.0,0.0,0.0,,0.0
c_201,HP,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0
c_202,HP,0.0,0.2,0.0,,0.0
c_203,HP,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
c_205,HP,1.0,0.75,1.0,0.75,1.0
c_206,HV,0.75,1.0,1.0,1.0,0.75
c_207,HV,0.8,0.6,0.8,0.8,1.0
c_208,HV,1.0,1.0,1.0,-0.6666666666666666,0.3333333333333333
c_209,HV,-1.0,-1.0,-1.0,0.6666666666666666,0.6666666666666666
c_210,HV,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666
c_211,HP,0.25,-0.25,0.0,0.25,-0.5
c_212,HP,0.25,0.25,0.5,-1.0,-0.5
c_213,HP,-1.0,-0.3333333333333333,-1.0,0.3333333333333333,-0.3333333333333333
c_214,HP,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
c_215,HP,-0.6666666666666666,-0.6666666666666666,-1.0,,-1.0
c_216,HP,1.0,1.0,0.6666666666666666,-0.6666666666666666,-1.0
c_217,HP,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333
c_218,HP,-1.0,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
c_219,HP,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0
c_220,HP,1.0,1.0,1.0,1.0,1.0
c_221,HP,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0
c_222,HP,1.0,0.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333
c_223,HP,0.3333333333333333,1.0,1.0,1.0,1.0
c_224,HP,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333
c_225,HP,1.0,0.3333333333333333,0.3333333333333333,,-0.3333333333333333
c_226,HP,0.0,0.0,0.0,-1.0,-0.6666666666666666
c_227,HP,1.0,1.0,1.0,0.0,0.3333333333333333
c_228,HP,-1.0,-0.75,-0.5,0.75,0.75
c_229,HP,0.25,0.5,-1.0,0.0,0.25
c_230,HP,-1.0,-1.0,-1.0,,-1.0
c_231,HV,-1.0,-1.0,-1.0,-1.0,-1.0
c_232,HV,1.0,1.0,1.0,,0.3333333333333333
c_233,HV,0.0,-0.25,0.25,-1.0,0.25
c_234,HV,0.0,0.0,1.0,1.0,1.0
c_235,HV,0.5,0.25,0.5,-1.0,0.75
c_236,HV,-1.0,-0.6666666666666666,-0.3333333333333333,1.0,-0.3333333333333333
c_237,HV,0.3333333333333333,0.3333333333333333,-1.0,-1.0,-1.0
c_238,HV,-1.0,-1.0,-0.75,-0.5,-0.5
c_239,HV,1.0,1.0,0.75,0.75,0.25
c_240,HV,0.0,0.25,1.0,1.0,1.0
c_241,HV,0.5,1.0,-0.25,-1.0,-0.25
c_242,HV,1.0,1.0,-0.6666666666666666,-1.0,-1.0
c_243,HV,-0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0
c_244,HV,-0.25,0.25,1.0,0.25,1.0
c_245,HV,-1.0,-1.0,-1.0,-1.0,-1.0
c_246,HV,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.6666666666666666
c_247,HV,-1.0,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0
c_248,HV,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
c_249,HV,0.0,0.25,-1.0,-1.0,-1.0
c_250,HV,-0.2,-0.6,-1.0,-1.0,-1.0
c_251,AS,-0.5,-0.75,-0.5,,0.0
c_252,AS,0.3333333333333333,0.3333333333333333,0.0,,0.0
c_253,AS,-0.6666666666666666,-0.3333333333333333,-1.0,,-0.6666666666666666
c_254,AS,-0.6666666666666666,-0.6666666666666666,-1.0,,-0.3333333333333333
c_255,AS,0.0,0.0,0.3333333333333333,,0.3333333333333333
c_256,AS,0.0,0.0,-0.4,,0.0
c_257,AS,-0.25,0.0,-0.25,,0.5
c_258,AS,0.0,0.3333333333333333,-0.3333333333333333,,-0.3333333333333333
c_259,AS,0.0,-0.3333333333333333,-1.0,,0.0
c_260,AS,0.0,0.0,0.5,,-1.0
c_261,AS,0.0,0.0,-0.5,,0.25
c_262,AS,-0.3333333333333333,-0.6666666666666666,0.0,,0.0
c_263,AS,0.0,-0.3333333333333333,0.0,,0.0
c_264,AS,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.0
c_265,AS,0.0,0.0,0.0,,-0.3333333333333333
c_266,AS,0.0,0.3333333333333333,0.0,,0.0
c_267,AS,0.3333333333333333,0.0,0.0,,-0.3333333333333333
c_268,AS,-0.6666666666666666,-0.3333333333333333,0.0,,0.0
c_269,AS,-0.3333333333333333,0.0,-0.6666666666666666,,-0.6666666666666666
c_270,AS,0.3333333333333333,-1.0,-1.0,,0.3333333333333333
c_271,AM,-0.5,0.5,0.0,0.5,0.5
c_272,AM,-1.0,-0.6666666666666666,0.0,0.3333333333333333,-0.6666666666666666
c_273,AM,-0.25,-0.5,-0.25,-0.75,-0.25
c_274,AM,0.5,0.25,0.0,-0.25,-0.25
c_275,AM,0.0,0.0,-0.6666666666666666,-1.0,-0.3333333333333333
c_276,AM,0.5,-0.25,-1.0,-1.0,-1.0
c_277,AM,-0.2,0.0,-0.2,0.4,0.0
c_278,AM,0.0,1.0,1.0,,0.0
c_279,AM,-0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666
c_280,AM,-0.25,0.0,0.0,-0.5,0.0
c_281,AM,0.3333333333333333,0.0,0.6666666666666666,-1.0,-0.3333333333333333
c_282,AM,0.25,0.25,1.0,0.5,1.0
c_283,AM,0.0,-0.6666666666666666,-1.0,0.3333333333333333,-0.6666666666666666
c_284,AM,0.0,0.6666666666666666,0.6666666666666666,-1.0,-0.3333333333333333
c_285,AM,-0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.0,-0.3333333333333333
c_286,AM,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333
c_287,AM,1.0,1.0,1.0,-0.3333333333333333,1.0
c_288,AM,-0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
c_289,AM,-0.3333333333333333,1.0,1.0,1.0,1.0
c_290,AM,-1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
c_291,AM,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.3333333333333333
c_292,AM,1.0,1.0,0.4,-0.6,-0.2
c_293,AM,1.0,1.0,0.75,0.5,0.75
c_294,AM,-1.0,-1.0,-1.0,0.3333333333333333,1.0
c_295,AM,1.0,1.0,1.0,-0.3333333333333333,-0.3333333333333333
c_296,AM,1.0,1.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333
c_297,AM,-1.0,-1.0,-0.25,-0.25,-0.25
c_298,AM,1.0,1.0,-0.3333333333333333,-1.0,-1.0
c_299,AM,-1.0,-1.0,-1.0,,0.6666666666666666
c_300,AM,1.0,1.0,-0.3333333333333333,,-0.3333333333333333
c_301,HP,0.6666666666666666,1.0,1.0,,1.0
