case_id,category,overall_agreement_pct,case_fleiss_kappa,melody_decision,melody_agreement,melody_n,harmony_decision,harmony_agreement,harmony_n,rhythm_decision,rhythm_agreement,rhythm_n,voice_decision,voice_agreement,voice_n,timbre_decision,timbre_agreement,timbre_n
c_039,HV,70.0,0.2593,A,100.0,4,A,100.0,4,A,50.0,4,B,50.0,4,A,50.0,4
c_040,HV,66.7,0.0209,Neither,66.7,6,Neither,66.7,6,B,66.7,6,B,50.0,6,B,83.3,6
c_041,HV,86.7,0.5238,Neither,100.0,3,Neither,66.7,3,Neither,66.7,3,A,100.0,3,A,100.0,3
c_042,HV,67.8,0.1374,Neither,57.1,7,Neither,42.9,7,B,71.4,7,NULL,,0,B,100.0,7
c_043,HV,93.3,0.4231,Neither,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_044,HV,80.0,0.3791,A,100.0,5,A,100.0,5,A,100.0,5,B,40.0,5,Neither,60.0,5
c_045,HV,60.0,0.0099,Neither,60.0,5,A,40.0,5,Neither,60.0,5,A,80.0,5,A,60.0,5
c_046,HV,72.0,0.2867,A,100.0,5,A,100.0,5,B,40.0,5,B,60.0,5,A,60.0,5
c_047,HV,80.0,-0.0448,B,100.0,5,B,60.0,5,B,80.0,5,NULL,,0,B,80.0,5
c_048,HV,85.0,0.5286,A,100.0,4,A,100.0,4,A,50.0,4,Neither,75.0,4,Neither,100.0,4
c_049,HV,100.0,,B,100.0,5,B,100.0,5,B,100.0,5,NULL,,0,B,100.0,5
c_050,HV,86.7,0.1667,A,100.0,3,A,100.0,3,A,100.0,3,A,66.7,3,Neither,66.7,3
c_051,AS,81.2,-0.2308,Neither,75.0,4,Neither,75.0,4,Neither,100.0,4,NULL,,0,Neither,75.0,4
c_052,AS,62.5,-0.1378,Neither,75.0,4,A,50.0,4,Neither,50.0,4,NULL,,0,Neither,75.0,4
c_053,AS,75.0,-0.2414,Neither,100.0,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_054,AS,75.0,-0.0286,A,66.7,3,A,66.7,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_055,AS,62.5,-0.1689,Neither,75.0,4,A,50.0,4,Neither,75.0,4,NULL,,0,Neither,50.0,4
c_056,AS,62.5,0.0,B,50.0,4,A,50.0,4,Neither,50.0,4,NULL,,0,A,100.0,4
c_057,AS,83.3,0.1111,Neither,100.0,3,A,66.7,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_058,AS,75.0,-0.2549,Neither,75.0,4,Neither,75.0,4,Neither,75.0,4,NULL,,0,Neither,75.0,4
c_059,AS,66.7,-0.0213,Neither,66.7,3,A,66.7,3,Neither,66.7,3,NULL,,0,A,66.7,3
c_060,AS,83.3,-0.2,Neither,100.0,3,Neither,100.0,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_061,AS,91.7,0.7073,B,100.0,3,Neither,100.0,3,B,100.0,3,NULL,,0,A,66.7,3
c_062,AS,81.2,-0.1707,Neither,75.0,4,Neither,75.0,4,Neither,100.0,4,NULL,,0,Neither,75.0,4
c_063,AS,75.0,0.1818,A,100.0,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_064,AS,60.0,-0.0163,A,60.0,5,A,60.0,5,A,60.0,5,NULL,,0,Neither,60.0,5
c_065,AS,56.2,-0.1477,A,50.0,4,Neither,50.0,4,Neither,75.0,4,NULL,,0,B,50.0,4
c_066,AS,62.5,-0.0535,Neither,75.0,4,B,75.0,4,B,50.0,4,NULL,,0,A,50.0,4
c_067,AS,65.0,0.0291,A,40.0,5,Neither,60.0,5,Neither,60.0,5,NULL,,0,Neither,100.0,5
c_068,AS,62.5,-0.0228,A,50.0,4,A,100.0,4,A,50.0,4,NULL,,0,Neither,50.0,4
c_069,AS,75.0,-0.3333,Neither,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,66.7,3
c_070,AS,75.0,-0.1728,Neither,60.0,5,Neither,80.0,5,Neither,80.0,5,NULL,,0,Neither,80.0,5
c_071,AS,87.5,-0.1429,Neither,100.0,4,Neither,100.0,4,Neither,75.0,4,NULL,,0,Neither,75.0,4
c_072,AS,50.0,-0.2063,A,50.0,4,A,50.0,4,Neither,50.0,4,NULL,,0,B,50.0,4
c_073,AS,56.2,-0.2,B,50.0,4,B,75.0,4,B,50.0,4,NULL,,0,Neither,50.0,4
c_074,AS,62.5,-0.1667,Neither,75.0,4,B,50.0,4,B,75.0,4,NULL,,0,B,50.0,4
c_075,AS,93.8,0.7091,Neither,100.0,4,Neither,75.0,4,B,100.0,4,NULL,,0,Neither,100.0,4
c_076,AS,65.0,0.0291,Neither,100.0,5,Neither,80.0,5,B,40.0,5,NULL,,0,A,40.0,5
c_077,AS,80.0,-0.0753,B,80.0,5,Tie A/B,,5,B,80.0,5,NULL,,0,B,80.0,5
c_078,AS,66.7,-0.0213,Neither,66.7,3,A,66.7,3,B,66.7,3,NULL,,0,Neither,66.7,3
c_079,AS,60.0,-0.0504,Neither,60.0,5,Neither,60.0,5,A,60.0,5,NULL,,0,Neither,60.0,5
c_080,AS,62.5,0.1004,Neither,75.0,4,A,50.0,4,B,50.0,4,NULL,,0,B,75.0,4
c_081,AS,53.1,0.047,B,50.0,8,A,50.0,8,B,62.5,8,NULL,,0,Neither,50.0,8
c_082,AS,62.5,-0.098,Neither,100.0,4,Neither,50.0,4,Neither,50.0,4,NULL,,0,A,50.0,4
c_083,AS,87.5,0.4667,B,100.0,4,B,75.0,4,Neither,100.0,4,NULL,,0,B,75.0,4
c_084,AS,75.0,0.2574,B,75.0,4,B,100.0,4,A,50.0,4,NULL,,0,Neither,75.0,4
c_085,AS,75.0,0.2932,Neither,75.0,4,B,50.0,4,Neither,75.0,4,NULL,,0,A,100.0,4
c_086,AS,75.0,0.122,Neither,66.7,3,B,66.7,3,Neither,100.0,3,NULL,,0,A,66.7,3
c_087,AS,75.0,0.2672,Neither,80.0,5,Neither,60.0,5,Neither,60.0,5,NULL,,0,B,100.0,5
c_088,AS,81.2,0.3043,Neither,100.0,4,Neither,75.0,4,Neither,75.0,4,NULL,,0,A,75.0,4
c_089,AS,54.2,-0.0897,Neither,50.0,6,Neither,50.0,6,Neither,66.7,6,NULL,,0,B,50.0,6
c_090,AS,68.8,-0.0492,Neither,75.0,4,Neither,100.0,4,B,50.0,4,NULL,,0,Neither,50.0,4
c_091,AS,83.3,0.1111,Neither,100.0,3,Neither,66.7,3,A,66.7,3,NULL,,0,Neither,100.0,3
c_092,AS,62.5,0.0049,Neither,83.3,6,Neither,50.0,6,A,66.7,6,NULL,,0,A,50.0,6
c_093,AS,66.7,-0.0667,Neither,66.7,3,Neither,66.7,3,B,66.7,3,NULL,,0,Neither,66.7,3
c_094,AS,81.2,0.1273,Neither,75.0,4,Neither,75.0,4,B,75.0,4,NULL,,0,Neither,100.0,4
c_095,AS,53.3,-0.1024,Neither,80.0,5,Tie A/B,,5,A,40.0,5,NULL,,0,A,40.0,5
c_096,AS,60.0,-0.0619,Neither,80.0,5,A,60.0,5,A,40.0,5,NULL,,0,Neither,60.0,5
c_097,AS,56.2,-0.1775,B,50.0,4,Neither,50.0,4,B,75.0,4,NULL,,0,Neither,50.0,4
c_098,AS,83.3,-0.2,Neither,100.0,3,Neither,100.0,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_099,AS,83.3,-0.2,Neither,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_100,AS,100.0,,Neither,100.0,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_101,HP,60.0,-0.2298,A,50.0,4,A,75.0,4,A,50.0,4,A,75.0,4,A,50.0,4
c_102,HP,85.0,0.4719,B,100.0,4,B,100.0,4,B,100.0,4,Neither,75.0,4,Neither,50.0,4
c_103,HP,100.0,,A,100.0,4,A,100.0,4,A,100.0,4,A,100.0,4,A,100.0,4
c_104,HP,80.0,0.3146,B,100.0,4,Neither,50.0,4,B,100.0,4,Neither,75.0,4,Neither,75.0,4
c_105,HP,85.0,0.1195,B,50.0,4,B,75.0,4,B,100.0,4,B,100.0,4,B,100.0,4
c_106,HV,80.0,-0.0417,Neither,100.0,4,Neither,75.0,4,Neither,100.0,4,Neither,75.0,4,B,50.0,4
c_107,HV,60.0,-0.1621,Neither,75.0,4,A,50.0,4,A,75.0,4,A,50.0,4,A,50.0,4
c_108,HV,85.0,0.085,Neither,100.0,4,B,50.0,4,Neither,100.0,4,Neither,75.0,4,Neither,100.0,4
c_109,HV,93.8,-0.0667,B,75.0,4,B,100.0,4,B,100.0,4,NULL,,0,B,100.0,4
c_110,HV,100.0,,A,100.0,3,A,100.0,3,A,100.0,3,A,100.0,3,A,100.0,3
c_111,HP,73.4,0.1892,A,66.7,3,A,66.7,3,A,66.7,3,Neither,100.0,3,B,66.7,3
c_112,HP,73.4,0.0323,A,100.0,3,A,66.7,3,B,66.7,3,A,66.7,3,A,66.7,3
c_113,HP,60.0,0.0181,A,100.0,4,A,50.0,4,A,50.0,4,Neither,50.0,4,B,50.0,4
c_114,HP,60.0,-0.1799,A,75.0,4,A,75.0,4,A,50.0,4,Neither,50.0,4,A,50.0,4
c_115,HP,86.7,0.4444,Neither,100.0,3,Neither,100.0,3,A,100.0,3,Neither,66.7,3,A,66.7,3
c_116,HP,75.0,0.1954,B,75.0,4,A,50.0,4,B,75.0,4,A,100.0,4,A,75.0,4
c_117_1,HP,65.0,-0.092,B,75.0,4,B,75.0,4,B,50.0,4,A,50.0,4,A,75.0,4
c_118,HP,91.7,-0.0909,B,100.0,3,B,100.0,3,B,66.7,3,NULL,,0,B,100.0,3
c_119,HP,80.0,0.3182,B,66.7,3,B,66.7,3,B,100.0,3,A,100.0,3,A,66.7,3
c_120,HP,80.0,0.1667,B,100.0,3,A,66.7,3,A,100.0,3,A,66.7,3,A,66.7,3
c_121,HP,80.0,0.2373,A,100.0,3,A,100.0,3,A,66.7,3,B,66.7,3,B,66.7,3
c_122,HP,100.0,,A,100.0,3,A,100.0,3,A,100.0,3,NULL,,0,A,100.0,3
c_123,HP,91.7,0.4,A,100.0,3,A,100.0,3,Neither,66.7,3,NULL,,0,A,100.0,3
c_124,HP,83.3,0.1111,A,100.0,3,A,100.0,3,B,66.7,3,NULL,,0,A,66.7,3
c_125,HP,93.3,-0.0714,B,100.0,3,B,100.0,3,B,66.7,3,B,100.0,3,B,100.0,3
c_126,HP,86.7,0.2105,Neither,66.7,3,B,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3
c_127,HP,95.0,-0.0526,A,100.0,4,A,75.0,4,A,100.0,4,A,100.0,4,A,100.0,4
c_128,HP,75.0,0.2157,B,75.0,4,B,50.0,4,Neither,100.0,4,Neither,75.0,4,Neither,75.0,4
c_129,HP,80.0,0.3382,A,66.7,3,A,66.7,3,Neither,66.7,3,B,100.0,3,B,100.0,3
c_130,HP,60.0,0.0383,Neither,50.0,6,B,50.0,6,A,50.0,6,Neither,83.3,6,B,66.7,6
c_131,HV,65.0,0.0551,B,50.0,4,A,50.0,4,A,100.0,4,B,75.0,4,A,50.0,4
c_132,HV,100.0,,A,100.0,3,A,100.0,3,A,100.0,3,NULL,,0,A,100.0,3
c_133,HV,93.3,0.4231,Neither,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_134,HV,80.0,-0.25,B,100.0,3,B,100.0,3,B,66.7,3,B,66.7,3,B,66.7,3
c_135,HV,65.0,0.0404,A,75.0,4,Neither,75.0,4,A,50.0,4,B,75.0,4,B,50.0,4
c_136,HV,73.4,0.1892,B,100.0,3,B,66.7,3,A,66.7,3,A,66.7,3,A,66.7,3
c_137,HV,62.5,-0.0802,Neither,50.0,4,B,75.0,4,Neither,50.0,4,NULL,,0,B,75.0,4
c_138,HV,80.0,0.0426,B,100.0,3,B,100.0,3,A,66.7,3,B,66.7,3,B,66.7,3
c_139,HV,73.4,-0.2,A,66.7,3,A,66.7,3,A,66.7,3,Neither,66.7,3,A,100.0,3
c_140,HV,100.0,,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_141,HV,75.0,-0.0286,Neither,66.7,3,Neither,66.7,3,B,66.7,3,NULL,,0,B,100.0,3
c_142,HV,86.7,0.4643,A,100.0,3,A,100.0,3,Neither,66.7,3,B,66.7,3,A,100.0,3
c_143,HV,60.0,-0.1966,Neither,50.0,4,A,50.0,4,Neither,50.0,4,Neither,75.0,4,Neither,75.0,4
c_144,HV,80.0,0.0426,B,100.0,3,B,100.0,3,B,66.7,3,B,66.7,3,A,66.7,3
c_145,HV,100.0,,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_146,HV,62.5,0.0502,A,50.0,4,B,50.0,4,A,50.0,4,NULL,,0,A,100.0,4
c_147,HV,93.3,0.6591,B,100.0,3,A,66.7,3,A,100.0,3,A,100.0,3,A,100.0,3
c_148,HV,80.0,-0.0227,B,100.0,3,B,100.0,3,B,66.7,3,A,66.7,3,B,66.7,3
c_149,HV,80.0,0.177,Neither,100.0,4,Neither,100.0,4,Neither,100.0,4,A,50.0,4,Neither,50.0,4
c_150,HV,76.0,0.2089,A,100.0,5,A,100.0,5,A,60.0,5,B,60.0,5,B,60.0,5
c_151,AS,91.7,-0.0909,Neither,100.0,3,Neither,100.0,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_152,AS,75.0,-0.1282,Neither,100.0,4,Neither,75.0,4,Neither,50.0,4,NULL,,0,Neither,75.0,4
c_153,AS,50.0,-0.1429,B,50.0,4,B,50.0,4,A,50.0,4,NULL,,0,B,50.0,4
c_154,AS,75.0,-0.125,A,100.0,3,A,66.7,3,A,66.7,3,NULL,,0,Neither,66.7,3
c_155,AS,75.0,-0.3333,Neither,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,66.7,3
c_156,AS,91.7,-0.0909,Neither,100.0,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_157,AS,56.2,-0.1689,B,50.0,4,Neither,75.0,4,Neither,50.0,4,NULL,,0,B,50.0,4
c_158,AS,68.8,0.0502,Neither,75.0,4,B,50.0,4,Neither,100.0,4,NULL,,0,B,50.0,4
c_159,AS,75.0,0.122,Neither,100.0,3,A,66.7,3,Neither,66.7,3,NULL,,0,A,66.7,3
c_160,AS,75.0,-0.1503,Neither,75.0,4,Neither,50.0,4,Neither,75.0,4,NULL,,0,Neither,100.0,4
c_161,AS,56.2,-0.1852,B,50.0,4,A,50.0,4,A,75.0,4,NULL,,0,B,50.0,4
c_162,AS,75.0,-0.2414,Neither,100.0,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_163,AS,75.0,0.122,B,100.0,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_164,AS,62.5,-0.1594,A,50.0,4,A,75.0,4,A,75.0,4,NULL,,0,Neither,50.0,4
c_165,AS,54.2,-0.0638,A,50.0,6,A,66.7,6,B,50.0,6,NULL,,0,Neither,50.0,6
c_166,AS,91.7,-0.0909,Neither,100.0,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,Neither,66.7,3
c_167,AS,62.5,-0.1594,Neither,75.0,4,A,50.0,4,Neither,75.0,4,NULL,,0,A,50.0,4
c_168,AS,75.0,0.0974,Neither,50.0,4,Neither,75.0,4,A,75.0,4,NULL,,0,Neither,100.0,4
c_169,AS,75.0,-0.125,A,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,66.7,3
c_170,AS,50.0,-0.2851,Neither,50.0,4,A,50.0,4,Neither,50.0,4,NULL,,0,Neither,50.0,4
c_171,AS,62.5,-0.1594,Neither,50.0,4,Neither,50.0,4,Neither,50.0,4,NULL,,0,Neither,100.0,4
c_172,AS,75.0,0.0588,Neither,100.0,4,A,50.0,4,Neither,100.0,4,NULL,,0,Neither,50.0,4
c_173,AS,83.3,0.1724,Neither,100.0,3,B,66.7,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_174,AS,75.0,0.1257,Neither,100.0,4,Neither,50.0,4,Neither,100.0,4,NULL,,0,A,50.0,4
c_175,AS,66.7,-0.3714,B,66.7,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_176,AS,68.8,-0.098,Neither,75.0,4,Neither,75.0,4,Neither,75.0,4,NULL,,0,A,50.0,4
c_177,AS,83.3,-0.2,Neither,66.7,3,Neither,66.7,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_178,AS,68.8,-0.0847,Neither,75.0,4,B,50.0,4,Neither,100.0,4,NULL,,0,Neither,50.0,4
c_179,AS,81.2,-0.0407,Neither,75.0,4,Neither,50.0,4,Neither,100.0,4,NULL,,0,Neither,100.0,4
c_180,AS,75.0,-0.0286,Neither,100.0,3,Neither,66.7,3,B,66.7,3,NULL,,0,Neither,66.7,3
c_181,AS,62.5,-0.1378,Neither,75.0,4,Neither,75.0,4,B,50.0,4,NULL,,0,Neither,50.0,4
c_182,AS,91.7,-0.0909,Neither,66.7,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_183,AS,66.7,-0.3714,Neither,66.7,3,Neither,66.7,3,B,66.7,3,NULL,,0,Neither,66.7,3
c_184,AS,66.7,-0.3333,Neither,66.7,3,A,66.7,3,A,66.7,3,NULL,,0,Neither,66.7,3
c_185,AS,56.2,-0.2152,B,50.0,4,Neither,50.0,4,B,75.0,4,NULL,,0,B,50.0,4
c_186,AS,66.7,-0.3333,Neither,66.7,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_187,AS,75.0,-0.125,B,66.7,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_188,AS,91.7,-0.0909,Neither,100.0,3,Neither,100.0,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_189,AS,56.2,-0.193,B,50.0,4,B,50.0,4,Neither,50.0,4,NULL,,0,B,75.0,4
c_190,AS,62.5,-0.0802,A,50.0,4,A,50.0,4,Neither,75.0,4,NULL,,0,Neither,75.0,4
c_191,AS,83.3,0.3333,Neither,66.7,3,B,100.0,3,B,66.7,3,NULL,,0,Neither,100.0,3
c_192,AS,55.0,-0.0606,A,60.0,5,B,40.0,5,Neither,60.0,5,NULL,,0,Neither,60.0,5
c_193,AS,75.0,-0.2414,Neither,100.0,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_194,AS,68.8,-0.0196,Neither,100.0,4,Neither,75.0,4,A,50.0,4,NULL,,0,Neither,50.0,4
c_195,AS,75.0,-0.3333,Neither,66.7,3,Neither,66.7,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_196,AS,66.7,-0.0909,A,66.7,3,A,66.7,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_197,AS,83.3,-0.2,Neither,100.0,3,Neither,100.0,3,Neither,66.7,3,NULL,,0,Neither,66.7,3
c_198,AS,75.0,-0.125,Neither,66.7,3,B,66.7,3,Neither,66.7,3,NULL,,0,Neither,100.0,3
c_199,AS,91.7,-0.0909,Neither,100.0,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,Neither,66.7,3
c_200,AS,100.0,,Neither,100.0,3,Neither,100.0,3,Neither,100.0,3,NULL,,0,Neither,100.0,3
c_201,HP,86.7,-0.1538,B,100.0,3,B,66.7,3,B,66.7,3,B,100.0,3,B,100.0,3
c_202,HP,95.0,-0.0526,Neither,100.0,5,Neither,80.0,5,Neither,100.0,5,NULL,,0,Neither,100.0,5
c_203,HP,86.7,0.1667,Neither,100.0,3,Neither,66.7,3,Neither,100.0,3,B,66.7,3,Neither,100.0,3
c_205,HP,90.0,-0.1111,B,100.0,4,B,75.0,4,B,100.0,4,B,75.0,4,B,100.0,4
c_206,HV,90.0,-0.1111,B,75.0,4,B,100.0,4,B,100.0,4,B,100.0,4,B,75.0,4
c_207,HV,84.0,-0.1494,B,80.0,5,B,80.0,5,B,80.0,5,B,80.0,5,B,100.0,5
c_208,HV,86.7,0.4643,B,100.0,3,B,100.0,3,B,100.0,3,A,66.7,3,Neither,66.7,3
c_209,HV,86.7,0.5161,A,100.0,3,A,100.0,3,A,100.0,3,B,66.7,3,B,66.7,3
c_210,HV,73.3,0.259,B,100.0,6,B,100.0,6,Neither,66.7,6,Neither,50.0,6,Neither,50.0,6
c_211,HP,65.0,0.0181,Neither,75.0,4,A,50.0,4,Neither,50.0,4,Neither,75.0,4,A,75.0,4
c_212,HP,70.0,0.0805,B,50.0,4,B,50.0,4,B,75.0,4,A,100.0,4,A,75.0,4
c_213,HP,80.0,0.2742,A,100.0,3,Neither,66.7,3,A,100.0,3,Neither,66.7,3,A,66.7,3
c_214,HP,80.0,-0.1842,B,100.0,3,B,100.0,3,B,66.7,3,B,66.7,3,B,66.7,3
c_215,HP,83.3,-0.2,A,66.7,3,A,66.7,3,A,100.0,3,NULL,,0,A,100.0,3
c_216,HP,86.7,0.5455,B,100.0,3,B,100.0,3,B,66.7,3,A,66.7,3,A,100.0,3
c_217,HP,80.0,0.1964,B,66.7,3,B,66.7,3,B,100.0,3,Neither,100.0,3,Neither,66.7,3
c_218,HP,73.4,-0.0714,A,100.0,3,A,66.7,3,Neither,66.7,3,Neither,66.7,3,Neither,66.7,3
c_219,HP,86.7,0.4444,Neither,100.0,3,B,66.7,3,B,100.0,3,Neither,66.7,3,B,100.0,3
c_220,HP,100.0,,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_221,HP,73.4,0.0323,A,66.7,3,Neither,66.7,3,Neither,66.7,3,B,66.7,3,Neither,100.0,3
c_222,HP,80.0,0.1667,B,100.0,3,B,66.7,3,B,66.7,3,A,100.0,3,B,66.7,3
c_223,HP,93.3,-0.0714,B,66.7,3,B,100.0,3,B,100.0,3,B,100.0,3,B,100.0,3
c_224,HP,86.7,0.3182,B,100.0,3,B,100.0,3,B,100.0,3,Neither,66.7,3,Neither,66.7,3
c_225,HP,75.0,-0.125,B,100.0,3,B,66.7,3,B,66.7,3,NULL,,0,A,66.7,3
c_226,HP,93.3,0.7,Neither,100.0,3,Neither,100.0,3,Neither,100.0,3,A,100.0,3,A,66.7,3
c_227,HP,93.3,0.7,B,100.0,3,B,100.0,3,B,100.0,3,Neither,100.0,3,Neither,66.7,3
c_228,HP,75.0,0.3282,A,100.0,4,A,75.0,4,A,50.0,4,B,75.0,4,B,75.0,4
c_229,HP,65.0,0.0625,B,50.0,4,B,75.0,4,A,100.0,4,Neither,50.0,4,B,50.0,4
c_230,HP,100.0,,A,100.0,3,A,100.0,3,A,100.0,3,NULL,,0,A,100.0,3
c_231,HV,100.0,,A,100.0,3,A,100.0,3,A,100.0,3,A,100.0,3,A,100.0,3
c_232,HV,91.7,0.4,B,100.0,3,B,100.0,3,B,100.0,3,NULL,,0,Neither,66.7,3
c_233,HV,75.0,0.3176,Neither,100.0,4,A,50.0,4,Neither,75.0,4,A,100.0,4,B,50.0,4
