participant_id,case_id,category,melody,harmony,rhythm,voice,timbre
P086,c_129,HP,A,A,Neither,B,B
P086,c_122,HP,A,A,A,,A
P086,c_128,HP,B,B,Neither,Neither,Neither
P020,c_145,HV,B,B,B,B,B
P020,c_193,AS,Neither,Neither,Neither,,Neither
P052,c_126,HP,B,B,B,B,B
P052,c_173,AS,Neither,B,A,,Neither
P052,c_188,AS,Neither,Neither,Neither,,Neither
P052,c_164,AS,A,A,A,,B
P052,c_145,HV,B,B,B,B,B
P052,c_207,HV,B,B,B,B,B
P052,c_187,AS,B,B,B,,Neither
P052,c_181,AS,Neither,Neither,B,,Neither
P052,c_183,AS,B,B,B,,B
P052,c_154,AS,A,A,A,,Neither
P052,c_200,AS,Neither,Neither,Neither,,Neither
P106,c_008,HV,Neither,Neither,Neither,Neither,Neither
P106,c_138,HV,B,B,A,Neither,A
P021,c_115,HP,Neither,Neither,A,Neither,Neither
P021,c_186,AS,Neither,Neither,Neither,,Neither
P021,c_142,HV,A,A,Neither,Neither,A
P021,c_111,HP,A,Neither,A,Neither,Neither
P021,c_180,AS,Neither,Neither,Neither,,Neither
P021,c_120,HP,B,B,A,A,A
P021,c_008,HV,Neither,Neither,Neither,Neither,Neither
P021,c_185,AS,B,Neither,Neither,,Neither
P021,c_155,AS,Neither,Neither,Neither,,Neither
P021,c_123,HP,A,A,Neither,,A
P021,c_116,HP,B,Neither,B,A,B
P021,c_197,AS,Neither,Neither,Neither,,Neither
P158,c_139,HV,A,A,A,A,A
P158,c_112,HP,A,B,Neither,Neither,A
P158,c_156,AS,Neither,B,Neither,,Neither
P158,c_193,AS,Neither,B,A,,B
P158,c_124,HP,A,A,A,,B
P158,c_131,HV,B,Neither,A,B,B
P158,c_107,HV,A,Neither,Neither,A,Neither
P158,c_126,HP,Neither,B,B,B,B
P158,c_141,HV,Neither,B,Neither,,B
P025,c_159,AS,Neither,A,A,,B
P025,c_150,HV,A,A,B,B,B
P025,c_181,AS,Neither,Neither,B,,B
P025,c_201,HP,B,A,A,B,B
P025,c_145,HV,B,B,B,B,B
P025,c_131,HV,B,B,A,B,A
P025,c_140,HV,B,B,B,B,B
P025,c_137,HV,A,B,A,,B
P025,c_153,AS,B,A,A,,B
P025,c_147,HV,B,B,A,A,A
P025,c_157,AS,B,A,A,,B
P025,c_132,HV,A,A,A,,A
P025,c_113,HP,A,A,B,B,B
P025,c_151,AS,Neither,Neither,Neither,,Neither
P025,c_192,AS,B,B,A,,Neither
P025,c_118,HP,B,B,A,,B
P025,c_136,HV,B,B,A,A,A
P025,c_171,AS,A,B,B,,Neither
P025,c_187,AS,Neither,Neither,Neither,,Neither
P025,c_110,HV,A,A,A,A,A
P025,c_185,AS,A,B,B,,A
P025,c_112,HP,A,A,B,A,B
P025,c_143,HV,A,A,A,A,A
P025,c_196,AS,A,A,Neither,,Neither
P025,c_182,AS,A,Neither,Neither,,Neither
P025,c_148,HV,B,B,A,A,A
P025,c_120,HP,B,A,A,B,B
P025,c_124,HP,A,A,B,,A
P025,c_156,AS,Neither,Neither,Neither,,Neither
P025,c_210,HV,B,B,B,A,A
P025,c_155,AS,Neither,Neither,Neither,,Neither
P047,c_110,HV,A,A,A,A,A
P025,c_152,AS,Neither,Neither,A,,A
P025,c_160,AS,Neither,A,A,,Neither
P025,c_180,AS,Neither,Neither,B,,B
P047,c_177,AS,Neither,Neither,Neither,,Neither
P025,c_008,HV,A,A,B,B,B
P047,c_197,AS,Neither,Neither,Neither,,Neither
P047,c_188,AS,Neither,Neither,Neither,,Neither
P047,c_150,HV,A,A,A,A,A
P047,c_132,HV,A,A,A,,A
P047,c_147,HV,B,A,A,A,A
P047,c_173,AS,Neither,Neither,Neither,,Neither
P047,c_163,AS,B,Neither,Neither,,Neither
P047,c_184,AS,Neither,A,A,,Neither
P073,c_120,HP,B,A,A,A,A
P073,c_143,HV,B,A,Neither,Neither,Neither
P073,c_158,AS,B,A,Neither,,A
P073,c_117_1,HP,B,B,A,Neither,A
P073,c_154,AS,A,Neither,A,,Neither
P073,c_190,AS,A,B,Neither,,Neither
P073,c_174,AS,Neither,A,Neither,,A
P073,c_160,AS,A,B,Neither,,Neither
P073,c_168,AS,B,Neither,A,,Neither
P073,c_001,HP,B,B,B,B,B
P073,c_124,HP,A,A,B,,A
P073,c_118,HP,B,B,B,,B
P073,c_171,AS,B,Neither,Neither,,Neither
P073,c_175,AS,B,Neither,Neither,,Neither
P073,c_101,HP,A,A,A,A,A
P073,c_148,HV,B,B,B,B,B
P073,c_116,HP,B,B,B,A,A
P073,c_179,AS,A,A,Neither,,Neither
P073,c_165,AS,A,A,A,,A
P073,c_130,HP,B,B,B,Neither,B
P073,c_176,AS,Neither,B,Neither,,B
P073,c_147,HV,B,A,A,A,A
P110,c_189,AS,A,B,A,,B
P110,c_165,AS,A,A,B,,B
P110,c_148,HV,B,B,B,A,B
P110,c_106,HV,Neither,B,Neither,Neither,B
P110,c_192,AS,A,A,B,,Neither
P110,c_194,AS,Neither,A,B,,A
P110,c_132,HV,A,A,A,,A
P110,c_157,AS,B,Neither,B,,B
P110,c_185,AS,Neither,Neither,B,,B
P110,c_196,AS,B,B,Neither,,Neither
P102,c_117_1,HP,B,A,Neither,A,A
P102,c_157,AS,Neither,Neither,Neither,,Neither
P102,c_179,AS,Neither,B,Neither,,Neither
P102,c_174,AS,Neither,B,Neither,,B
P102,c_164,AS,Neither,A,A,,A
P102,c_178,AS,Neither,Neither,Neither,,Neither
P102,c_201,HP,B,B,B,B,B
P102,c_168,AS,Neither,Neither,A,,Neither
P102,c_125,HP,B,B,B,B,B
P102,c_151,AS,Neither,Neither,B,,Neither
P181,c_165,AS,Neither,A,A,,Neither
P181,c_178,AS,Neither,Neither,Neither,,A
P181,c_158,AS,Neither,B,Neither,,B
P181,c_151,AS,Neither,Neither,Neither,,Neither
P181,c_194,AS,Neither,Neither,A,,Neither
P181,c_208,HV,B,B,B,A,Neither
P181,c_141,HV,Neither,Neither,B,,B
P181,c_198,AS,Neither,B,Neither,,Neither
P181,c_197,AS,Neither,Neither,B,,B
P181,c_182,AS,Neither,Neither,Neither,,Neither
P061,c_144,HV,B,B,B,B,A
P061,c_178,AS,B,B,Neither,,B
P061,c_117_1,HP,A,B,B,A,A
P061,c_286,AM,B,B,B,B,B
P061,c_234,HV,B,B,B,B,B
P061,c_231,HV,A,A,A,A,A
P061,c_274,AM,Neither,A,Neither,A,A
P061,c_279,AM,A,Neither,Neither,Neither,B
P061,c_108,HV,Neither,B,Neither,Neither,Neither
P061,c_258,AS,Neither,Neither,Neither,,Neither
P061,c_229,HP,A,B,A,Neither,Neither
P061,c_281,AM,B,Neither,B,A,Neither
P061,c_248,HV,B,B,B,B,B
P061,c_224,HP,B,B,B,Neither,Neither
P061,c_277,AM,A,B,B,Neither,A
P061,c_237,HV,A,A,A,A,A
P061,c_221,HP,Neither,Neither,Neither,B,Neither
P061,c_267,AS,Neither,Neither,Neither,,A
P076,c_108,HV,Neither,B,Neither,B,Neither
P076,c_144,HV,B,B,B,A,A
P076,c_225,HP,B,B,B,,B
P076,c_253,AS,A,Neither,A,,A
P076,c_242,HV,B,B,A,A,A
P076,c_283,AM,Neither,A,A,B,A
P099,c_257,AS,A,A,A,,B
P099,c_216,HP,B,B,B,A,A
P099,c_254,AS,A,A,A,,Neither
P099,c_236,HV,A,A,A,B,A
P099,c_230,HP,A,A,A,,A
P099,c_252,AS,Neither,Neither,Neither,,Neither
P099,c_271,AM,Neither,B,A,B,B
P099,c_006,HV,B,B,B,,B
P099,c_242,HV,B,B,Neither,A,A
P145,c_224,HP,B,B,B,B,B
P145,c_002,HP,A,A,A,A,Neither
P145,c_265,AS,Neither,Neither,Neither,,Neither
P145,c_230,HP,A,A,A,,A
P145,c_223,HP,B,B,B,B,B
P145,c_245,HV,A,A,A,A,A
P145,c_277,AM,Neither,Neither,Neither,B,B
P145,c_285,AM,A,B,B,A,A
P145,c_231,HV,A,A,A,A,A
P145,c_214,HP,B,B,B,B,B
P145,c_275,AM,Neither,Neither,A,A,A
P145,c_284,AM,Neither,Neither,B,A,Neither
P145,c_218,HP,A,A,A,Neither,Neither
P046,c_226,HP,Neither,Neither,Neither,A,A
P046,c_102,HP,B,B,B,Neither,Neither
P046,c_219,HP,Neither,Neither,B,Neither,B
P046,c_231,HV,A,A,A,A,A
P046,c_246,HV,B,B,A,A,B
P046,c_222,HP,B,B,B,A,B
P073,c_213,HP,A,A,A,B,A
P073,c_260,AS,Neither,A,B,,A
P073,c_248,HV,A,A,A,A,A
P073,c_207,HV,B,A,B,B,B
P073,c_280,AM,Neither,B,Neither,A,A
P073,c_228,HP,A,A,A,B,B
P073,c_250,HV,B,A,A,A,A
P073,c_286,AM,Neither,Neither,B,B,A
P073,c_266,AS,Neither,Neither,Neither,,Neither
P073,c_227,HP,B,B,B,Neither,B
P073,c_106,HV,Neither,Neither,Neither,Neither,B
P073,c_212,HP,Neither,Neither,B,A,A
P073,c_239,HV,B,B,B,B,A
P061,c_210,HV,B,B,Neither,Neither,B
P061,c_272,AM,A,A,Neither,Neither,Neither
P061,c_245,HV,A,A,A,A,A
P061,c_252,AS,B,B,Neither,,Neither
P061,c_255,AS,Neither,Neither,Neither,,B
P061,c_247,HV,A,A,A,A,A
P061,c_283,AM,Neither,Neither,A,Neither,A
